,FAM_N,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
465,662,17 DE MARZO,1,1,4,1,3,0
466,663,17 DE MARZO,1,1,2,4,4,0
467,664,17 DE MARZO,1,1,2,4,3,0
468,665,17 DE MARZO,1,1,5,5,8,0
469,666,17 DE MARZO,0,1,3,4,3,0
409,732,7 DE ENERO,1,1,8,2,7,0
410,733,7 DE ENERO,1,1,3,2,3,0
411,734,7 DE ENERO,1,1,4,5,7,0
412,735,7 DE ENERO,1,1,2,3,3,0
413,736,7 DE ENERO,0,1,3,3,4,0
361,678,REPUBLICA DEMOCRATICA ALEMANA,1,1,3,5,4,0
362,679,REPUBLICA DEMOCRATICA ALEMANA,0,1,4,3,4,0
363,680,REPUBLICA DEMOCRATICA ALEMANA,1,1,3,3,4,0
364,681,REPUBLICA DEMOCRATICA ALEMANA,1,1,4,2,3,0
365,682,REPUBLICA DEMOCRATICA ALEMANA,0,1,5,3,5,0
504,9,ALTO PROGRESO,1,1,4,4,5,0
461,250,ALTOS DE MANUEL,0,1,1,3,2,0
462,251,ALTOS DE MANUEL,0,1,2,2,3,0
449,774,AMPLIACION 8B,1,1,4,2,3,0
380,697,AMPLIACION PACIFICO 1,1,1,3,2,1,1
381,698,AMPLIACION PACIFICO 1,1,1,2,3,2,0
382,699,AMPLIACION PACIFICO 1,0,1,4,0,3,0
383,700,AMPLIACION PACIFICO 1,1,1,4,2,3,0
384,701,AMPLIACION PACIFICO 1,0,1,4,1,3,0
501,6,AMPUACION MINAS,1,1,3,3,4,0
192,279,BELLAVISTA 1,1,1,3,1,2,0
193,280,BELLAVISTA 1,1,1,3,2,3,0
194,281,BELLAVISTA 1,1,1,3,5,5,0
195,282,BELLAVISTA 1,0,1,2,0,0,0
196,283,BELLAVISTA 1,1,1,4,1,3,0
298,397,BUENOS AIRES,1,1,3,4,5,0
299,398,BUENOS AIRES,0,1,3,1,3,0
300,399,BUENOS AIRES,0,1,2,2,3,0
301,400,BUENOS AIRES,0,1,4,2,4,0
353,670,C 16,1,1,4,3,5,0
354,671,C 16,0,1,4,0,3,0
355,672,C 16,1,1,4,3,5,0
420,743,C16 LA NUEVA JUVENTUD,1,1,1,5,4,0
424,747,C16 LA NUEVA JUVENTUD,0,1,3,3,5,0
425,748,C16 LA NUEVA JUVENTUD,0,1,2,3,3,0
426,749,C16 LA NUEVA JUVENTUD,0,1,4,1,4,0
541,170,CASA HUERTA,0,1,2,2,2,0
542,171,CASA HUERTA,1,1,4,1,2,0
543,172,CASA HUERTA,1,1,4,1,3,0
544,173,CASA HUERTA,1,1,3,2,2,0
545,174,CASA HUERTA,1,1,3,1,2,0
546,175,CASA HUERTA,0,1,3,3,4,0
547,176,CASA HUERTA,0,1,4,3,6,0
548,177,CASA HUERTA,0,1,3,1,3,0
549,178,CASA HUERTA,0,1,2,3,4,0
550,179,CASA HUERTA,1,1,1,4,3,0
551,180,CASA HUERTA,0,1,1,0,0,0
552,181,CASA HUERTA,1,1,1,2,1,0
553,182,CASA HUERTA,1,1,1,4,3,0
554,183,CASA HUERTA,0,1,1,2,0,0
555,189,CASA HUERTA,1,1,2,3,2,0
455,647,CERRO AZUL - NUEVA RINCONADA,0,1,3,2,3,0
456,648,CERRO AZUL - NUEVA RINCONADA,1,1,3,1,2,0
457,649,CERRO AZUL - NUEVA RINCONADA,1,1,4,2,4,0
458,650,CERRO AZUL - NUEVA RINCONADA,1,1,1,3,2,0
459,651,CERRO AZUL - NUEVA RINCONADA,0,1,3,2,4,0
460,652,CERRO AZUL - NUEVA RINCONADA,1,1,2,1,1,0
500,5,CERRO VERDE,0,1,5,3,6,0
213,300,COMEDOR CORAZON DE JESUS,0,1,1,1,1,0
214,301,COMEDOR CORAZON DE JESUS,0,1,1,0,0,0
215,302,COMEDOR CORAZON DE JESUS,0,1,2,2,3,0
216,303,COMEDOR CORAZON DE JESUS,1,0,1,4,4,0
217,304,COMEDOR CORAZON DE JESUS,1,1,3,3,4,0
