id,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas
792,1,0,1,0,0,8,50,20,3,0.5,,2000,6
791,0,1,1,0,1,10,20,19,2,1,,2000,10
790,1,1,1,1,,3,15,,1,1.5,,1800,3
793,0,1,1,1,1,6,0.3,21,3,1.5,,1200,3
234,0,1,0,1,1,3,18,21,1,1,,400,2
794,0,0,0,1,0,4,3,20,1,2,2,900,0
795,0,1,0,1,1,5,4,18,1,1,3,400,2
796,0,1,0,1,1,6,18,17,1,1,2,500,4
797,0,1,0,0,,1,18,25,,,,,1
798,0,1,0,1,,4,30,22,1,2,,600,4
799,0,1,0,1,0,4,2,19,2,1,,700,
800,0,1,0,1,,1,1,,1,,,300,1
225,0,1,0,1,0,8,25,18,1,2.5,0,800,8
226,0,1,0,1,0,6,19,17,1,3,0,800,6
227,0,1,0,1,0,3,25,33,1,2,0,800,3
228,0,1,0,1,0,3,27,20,2,1,,,3
229,0,1,0,1,0,11,29,18,2,1.5,,1500,2
230,0,1,0,1,,2,30,,,,,250,2
231,0,1,0,1,0,5,30,18,1,,,,5
232,0,1,0,1,0,8,44,25,1,,,500,4
233,0,1,0,1,0,7,30,29,1,,,800,5
1,,,,,,8,18,27,2,1,2,900,
2,0,1,0,1,1,4,15,25,1,1,10,400,
3,1,1,0,1,0,3,18,19,1,,,500,2
4,0,1,0,1,0,5,13,20,,,,,
5,0,0,1,0,1,8,3,17,1,,1,930,3
6,0,1,0,0,1,6,,,1,,,930,0
7,1,1,0,1,0,7,,,1,1,,600,0
8,0,1,0,1,1,3,15,20,1,1,4,400,2
9,1,1,0,1,0,8,15,22,2,2,1,800,1
10,0,1,0,1,0,6,10,20,1,1.5,,700,
11,0,1,0,0,1,6,13,20,1,3,10,800,
12,1,1,0,0,1,4,10,21,2,1,2,900,4
13,0,1,1,0,1,7,12,17,2,2,3,,
14,0,1,0,0,1,5,10,,1,1,2,,
15,0,1,0,1,1,6,17,25,1,2,5,,2
16,0,1,1,0,0,7,15,25,2,1,2,900,2
17,0,1,0,1,1,4,10,18,1,1,5,500,
18,0,1,1,1,0,4,10,,1,1,1.5,850,
19,0,1,0,1,0,6,13,,4,1,,,
20,0,1,0,1,0,3,18,23,1,0.5,1,600,2
94,0,0,0,1,1,7,12,23,3,1,0,680,4
95,0,1,0,1,0,4,13,23,1,0,,500,3
96,0,1,0,1,0,4,10,19,1,0,2,550,2
97,0,1,0,1,0,5,9,23,1,0,0,700,4
98,0,1,0,1,0,4,18,20,1,1,2,550,1
99,0,0,0,1,0,5,10,29,1,,,,4
100,0,1,0,0,0,6,18,19,1,0,5,520,1
101,0,1,0,1,1,5,18,18,1,2,0,650,3
102,0,1,0,0,1,2,18,20,3,1,0,600,1
103,0,1,0,1,0,5,18,20,2,1,0,650,2
164,1,1,0,1,0,3,18,20,1,2.5,1,950,
165,0,1,0,1,1,4,18,24,1,2,8,950,
166,0,1,0,1,1,4,18,22,1,2,2,850,2
167,1,1,0,1,0,4,18,32,1,2.5,,950,3
168,0,1,0,1,0,4,18,,1,1,,850,
169,1,1,0,,1,2,18,23,1,,2,850,
662,0,1,0,1,1,5,5,22,1,2,10,1400,0
663,0,1,0,1,0,6,5,21,1,,3,,1
664,0,1,0,1,0,6,5,17,1,3,,,3
665,0,1,0,1,0,10,5,19,1,3,,200,2
666,0,1,0,1,0,4,3,24,1,2,,200,
250,0,1,0,1,1,4,33,23,2,1,2,500,4
251,0,1,0,1,1,4,30,18,1,1,2,500,2
252,0,0,0,1,1,3,6,31,1,1,0,700,3
253,0,0,0,1,1,4,25,37,2,1,0,600,4
647,0,1,0,1,0,5,2,23,1,1.5,,750,2
648,0,0,0,1,0,4,3,23,1,2,1,750,2
649,0,0,0,1,1,6,2,18,7,1.5,,750,5
650,0,0,0,1,0,4,3,17,1,3,,1000,2
651,0,0,0,1,1,5,4,20,0,,3,0,1
652,0,0,0,1,0,3,5,25,1,0.5,,500,2
618,0,1,0,0,1,4,7,23,,,3,,1
619,0,0,0,0,1,6,5,19,,,3,,1
620,0,0,0,1,0,4,7,25,,,2,,2
621,0,0,0,0,0,7,7,15,,,2,,0
622,0,0,0,1,0,4,3,17,,,,,2
623,0,1,0,1,0,5,7,20,,,5,,3
189,0,1,0,1,1,4,20,19,1,1,2,650,1
190,0,1,0,1,1,5,20,20,1,0.7,2,750,4
191,0,0,0,1,1,6,15,18,1,0.5,1,650,2
192,0,1,0,1,1,4,8,26,1,1,0,700,0
