,FAM_N,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
0,792.0,1.0,0.0,1.0,0.0,0.0,8,50.0,20.0,3.0,0.5,1.9508474576271186,2000.0,0.75,OTRO CASO,0.0,1.0,5.0,4.0,3.0,0.0
1,791.0,0.0,1.0,1.0,0.0,1.0,10,20.0,19.0,2.0,1.0,1.9508474576271186,2000.0,1.0,OTRO CASO,0.0,1.0,2.0,4.0,5.0,0.0
3,793.0,0.0,1.0,1.0,1.0,1.0,6,0.3,21.0,3.0,1.5,1.9508474576271186,1200.0,0.5,OTRO CASO,1.0,1.0,3.0,3.0,2.0,0.0
4,234.0,0.0,1.0,0.0,1.0,1.0,3,18.0,21.0,1.0,1.0,1.9508474576271184,400.0,0.66667,OTRO CASO,0.0,1.0,3.0,0.0,2.0,0.0
5,794.0,0.0,0.0,0.0,1.0,0.0,4,3.0,20.0,1.0,2.0,2.0,900.0,0.0,OTRO CASO,1.0,1.0,2.0,2.0,2.0,0.0
6,795.0,0.0,1.0,0.0,1.0,1.0,5,4.0,18.0,1.0,1.0,3.0,400.0,0.4,OTRO CASO,0.0,1.0,2.0,3.0,3.0,0.0
7,796.0,0.0,1.0,0.0,1.0,1.0,6,18.0,17.0,1.0,1.0,2.0,500.0,0.66667,OTRO CASO,0.0,1.0,2.0,4.0,5.0,0.0
10,799.0,0.0,1.0,0.0,1.0,0.0,4,2.0,19.0,2.0,1.0,1.9508474576271184,700.0,0.65953,OTRO CASO,1.0,1.0,3.0,1.0,2.0,0.0
12,225.0,0.0,1.0,0.0,1.0,0.0,8,25.0,18.0,1.0,2.5,0.0,800.0,1.0,MANUEL SCORZA,1.0,1.0,3.0,1.0,2.0,0.0
13,226.0,0.0,1.0,0.0,1.0,0.0,6,19.0,17.0,1.0,3.0,0.0,800.0,1.0,MANUEL SCORZA,1.0,1.0,1.0,3.0,2.0,0.0
14,227.0,0.0,1.0,0.0,1.0,0.0,3,25.0,33.0,1.0,2.0,0.0,800.0,1.0,MANUEL SCORZA,0.0,1.0,2.0,0.0,1.0,0.0
16,229.0,0.0,1.0,0.0,1.0,0.0,11,29.0,18.0,2.0,1.5,1.9508474576271184,1500.0,0.18182,MANUEL SCORZA,1.0,1.0,5.0,3.0,6.0,0.0
19,232.0,0.0,1.0,0.0,1.0,0.0,8,44.0,25.0,1.0,1.1690340909090908,1.9508474576271189,500.0,0.5,MANUEL SCORZA,1.0,1.0,1.0,3.0,2.0,0.0
20,233.0,0.0,1.0,0.0,1.0,0.0,7,30.0,29.0,1.0,1.169034090909091,1.9508474576271186,800.0,0.71429,MANUEL SCORZA,1.0,1.0,1.0,4.0,3.0,0.0
22,2.0,0.0,1.0,0.0,1.0,1.0,4,15.0,25.0,1.0,1.0,10.0,400.0,0.65953,TOMAS DE MINAS,1.0,1.0,1.0,3.0,2.0,0.0
23,3.0,1.0,1.0,0.0,1.0,0.0,3,18.0,19.0,1.0,1.1690340909090908,1.9508474576271186,500.0,0.66667,MINAS 2000,0.0,1.0,1.0,2.0,1.0,0.0
25,5.0,0.0,0.0,1.0,0.0,1.0,8,3.0,17.0,1.0,1.1690340909090908,1.0,930.0,0.375,CERRO VERDE,0.0,1.0,5.0,3.0,6.0,0.0
29,9.0,1.0,1.0,0.0,1.0,0.0,8,15.0,22.0,2.0,2.0,1.0,800.0,0.125,ALTO PROGRESO,1.0,1.0,4.0,4.0,5.0,0.0
30,10.0,0.0,1.0,0.0,1.0,0.0,6,10.0,20.0,1.0,1.5,1.9508474576271186,700.0,0.43969,TOMAS DE MINAS,1.0,1.0,2.0,4.0,4.0,0.0
31,11.0,0.0,1.0,0.0,0.0,1.0,6,13.0,20.0,1.0,3.0,10.0,800.0,0.43969,MINAS 2000,1.0,1.0,2.0,4.0,4.0,0.0
32,12.0,1.0,1.0,0.0,0.0,1.0,4,10.0,21.0,2.0,1.0,2.0,900.0,1.0,MINAS 2000,1.0,1.0,2.0,2.0,2.0,0.0
36,16.0,0.0,1.0,1.0,0.0,0.0,7,15.0,25.0,2.0,1.0,2.0,900.0,0.28571,MINAS 2000,1.0,0.0,4.0,3.0,1.0,0.0
37,17.0,0.0,1.0,0.0,1.0,1.0,4,10.0,18.0,1.0,1.0,5.0,500.0,0.65953,MINAS 2000,0.0,1.0,2.0,2.0,3.0,0.0
38,18.0,0.0,1.0,1.0,1.0,0.0,4,10.0,20.987113402061855,1.0,1.0,1.5,850.0,0.65953,MINAS 2000,1.0,1.0,2.0,2.0,1.0,0.0
40,20.0,0.0,1.0,0.0,1.0,0.0,3,18.0,23.0,1.0,0.5,1.0,600.0,0.66667,MINAS 2000,0.0,1.0,3.0,0.0,1.0,0.0
41,94.0,0.0,0.0,0.0,1.0,1.0,7,12.0,23.0,3.0,1.0,0.0,680.0,0.57143,LOMAS DE MINAS,0.0,1.0,4.0,2.0,4.0,0.0
42,95.0,0.0,1.0,0.0,1.0,0.0,4,13.0,23.0,1.0,0.0,1.9508474576271186,500.0,0.75,LOMAS DE MINAS,1.0,1.0,2.0,2.0,2.0,0.0
43,96.0,0.0,1.0,0.0,1.0,0.0,4,10.0,19.0,1.0,0.0,2.0,550.0,0.5,LOMAS DE MINAS,1.0,1.0,2.0,2.0,2.0,0.0
44,97.0,0.0,1.0,0.0,1.0,0.0,5,9.0,23.0,1.0,0.0,0.0,700.0,0.8,LOMAS DE MINAS,1.0,1.0,4.0,1.0,3.0,0.0
45,98.0,0.0,1.0,0.0,1.0,0.0,4,18.0,20.0,1.0,1.0,2.0,550.0,0.25,LOMAS DE MINAS,1.0,1.0,1.0,3.0,2.0,0.0
47,100.0,0.0,1.0,0.0,0.0,0.0,6,18.0,19.0,1.0,0.0,5.0,520.0,0.16667,LOMAS DE MINAS,1.0,1.0,4.0,2.0,4.0,0.0
48,101.0,0.0,1.0,0.0,1.0,1.0,5,18.0,18.0,1.0,2.0,0.0,650.0,0.6,LOMAS DE MINAS,1.0,1.0,3.0,2.0,3.0,0.0
49,102.0,0.0,1.0,0.0,0.0,1.0,2,18.0,20.0,3.0,1.0,0.0,600.0,0.5,LOMAS DE MINAS,0.0,1.0,2.0,1.0,2.0,0.0
50,103.0,0.0,1.0,0.0,1.0,0.0,5,18.0,20.0,2.0,1.0,0.0,650.0,0.4,LOMAS DE MINAS,1.0,1.0,1.0,4.0,2.0,0.0
51,164.0,1.0,1.0,0.0,1.0,0.0,3,18.0,20.0,1.0,2.5,1.0,950.0,0.87937,NUEVA RINCONADA,0.0,1.0,2.0,0.0,1.0,0.0
52,165.0,0.0,1.0,0.0,1.0,1.0,4,18.0,24.0,1.0,2.0,8.0,950.0,0.65953,NUEVA RINCONADA,1.0,1.0,2.0,2.0,2.0,0.0
53,166.0,0.0,1.0,0.0,1.0,1.0,4,18.0,22.0,1.0,2.0,2.0,850.0,0.5,NUEVA RINCONADA,1.0,1.0,3.0,1.0,2.0,0.0
54,167.0,1.0,1.0,0.0,1.0,0.0,4,18.0,32.0,1.0,2.5,1.9508474576271189,950.0,0.75,NUEVA RINCONADA,1.0,1.0,2.0,1.0,1.0,0.0
55,168.0,0.0,1.0,0.0,1.0,0.0,4,18.0,20.987113402061855,1.0,1.0,1.9508474576271189,850.0,0.65953,NUEVA RINCONADA,0.0,1.0,2.0,1.0,2.0,0.0
57,662.0,0.0,1.0,0.0,1.0,1.0,5,5.0,22.0,1.0,2.0,10.0,1400.0,0.0,17 DE MARZO,1.0,1.0,4.0,1.0,3.0,0.0
60,665.0,0.0,1.0,0.0,1.0,0.0,10,5.0,19.0,1.0,3.0,1.9508474576271189,200.0,0.2,17 DE MARZO,1.0,1.0,5.0,5.0,8.0,0.0
61,666.0,0.0,1.0,0.0,1.0,0.0,4,3.0,24.0,1.0,2.0,1.9508474576271189,200.0,0.65953,17 DE MARZO,0.0,1.0,3.0,4.0,3.0,0.0
62,250.0,0.0,1.0,0.0,1.0,1.0,4,33.0,23.0,2.0,1.0,2.0,500.0,1.0,ALTOS DE MANUEL,0.0,1.0,1.0,3.0,2.0,0.0
63,251.0,0.0,1.0,0.0,1.0,1.0,4,30.0,18.0,1.0,1.0,2.0,500.0,0.5,ALTOS DE MANUEL,0.0,1.0,2.0,2.0,3.0,0.0
64,252.0,0.0,0.0,0.0,1.0,1.0,3,6.0,31.0,1.0,1.0,0.0,700.0,1.0,UNION Y PAZ,0.0,1.0,3.0,0.0,2.0,0.0
65,253.0,0.0,0.0,0.0,1.0,1.0,4,25.0,37.0,2.0,1.0,0.0,600.0,1.0,UNION Y PAZ,0.0,1.0,2.0,2.0,3.0,0.0
66,647.0,0.0,1.0,0.0,1.0,0.0,5,2.0,23.0,1.0,1.5,1.9508474576271186,750.0,0.4,CERRO AZUL - NUEVA RINCONADA,0.0,1.0,3.0,2.0,3.0,0.0
67,648.0,0.0,0.0,0.0,1.0,0.0,4,3.0,23.0,1.0,2.0,1.0,750.0,0.5,CERRO AZUL - NUEVA RINCONADA,1.0,1.0,3.0,1.0,2.0,0.0
68,649.0,0.0,0.0,0.0,1.0,1.0,6,2.0,18.0,7.0,1.5,1.9508474576271186,750.0,0.83333,CERRO AZUL - NUEVA RINCONADA,1.0,1.0,4.0,2.0,4.0,0.0
69,650.0,0.0,0.0,0.0,1.0,0.0,4,3.0,17.0,1.0,3.0,1.9508474576271186,1000.0,0.5,CERRO AZUL - NUEVA RINCONADA,1.0,1.0,1.0,3.0,2.0,0.0
