,DIRECCION,sum_personas,internet,agua,banco,iglesia,dejar_hijos,avg_personas,tiempo_casa,cuantas_trabajan,tiempo_trabajan,pierden_colegio,bautizadas,PADRE,MADRE,F,M,NINOS,MAYORES,primer_hijo,ingreso,household_count,bap_prop,bap_prop_col,ingreso_col
0,LA RINCONADA,79,0.0,1.0,0.0,0.9090909090909091,0.9090909090909091,7.181818181818182,17.727272727272727,1.8181818181818181,1.1409090909090909,1.8181818181818181,2.272727272727273,0.36363636363636365,1.0,3.272727272727273,2.1818181818181817,3.1818181818181817,0.36363636363636365,22.0,700.0,11,0.31645569620253167,low,medium
1,LOS ROSALES,63,0.8,1.0,0.1,0.7,1.0,6.3,13.62,1.4,1.05,2.5555555555555554,2.6666666666666665,0.8,1.0,3.1,2.7,3.9,0.0,19.5,900.0,10,0.42328042328042326,medium,high
2,MANUEL SCORZA,58,0.0,1.0,0.0,1.0,0.0,5.2727272727272725,25.90909090909091,1.1,1.58125,0.75,3.3636363636363638,0.8181818181818182,1.0,1.9090909090909092,1.8181818181818181,1.8181818181818181,0.09090909090909091,19.5,800.0,11,0.6379310344827587,high,medium
3,LAS ROCAS,58,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.8461538461538461,0.23076923076923078,4.461538461538462,5.923076923076923,1.1538461538461537,1.7615384615384615,4.333333333333333,2.25,0.6153846153846154,1.0,1.6923076923076923,2.0,1.7692307692307692,0.0,21.0,750.0,13,0.5043103448275862,medium,medium
4,EL NAZARENO,55,0.0,1.0,0.0,1.0,0.0,7.857142857142857,35.0,1.5714285714285714,1.1428571428571428,0.0,7.285714285714286,0.0,1.0,3.0,2.142857142857143,4.142857142857143,0.0,20.0,300.0,7,0.9272727272727272,high,low
5,PROGRAMA MUNICIPAL DE V. UNICA,54,0.0,1.0,0.0,1.0,0.0,5.4,15.7,1.1,1.365,1.5555555555555556,3.5,0.5,0.8,2.1,1.9,2.5,0.0,22.5,940.0,10,0.6481481481481481,high,high
6,OTRO CASO,54,0.18181818181818182,0.8181818181818182,0.36363636363636365,0.8181818181818182,0.625,4.909090909090909,14.663636363636364,1.5454545454545454,1.25,2.3333333333333335,3.5,0.45454545454545453,0.9090909090909091,2.5454545454545454,2.1818181818181817,2.1818181818181817,0.09090909090909091,20.0,700.0,11,0.7129629629629629,high,medium
7,LAS TORRES,53,0.3,0.5,0.0,0.9,0.1,5.3,12.3,1.0,0.9222222222222223,0.2222222222222222,2.2,0.8,1.0,2.5,2.0,2.6,0.0,19.0,825.0,10,0.4150943396226416,medium,high
8,COMEDOR CORAZON DE JESUS,52,0.18181818181818182,1.0,0.2727272727272727,0.8181818181818182,0.8,4.7272727272727275,16.454545454545453,1.2222222222222223,1.4444444444444444,3.7142857142857144,3.1818181818181817,0.18181818181818182,0.9090909090909091,2.272727272727273,1.8181818181818181,3.0,0.0,21.0,600.0,11,0.673076923076923,high,low
9,VILLA SAN JUAN,49,0.0,1.0,0.08333333333333333,0.9090909090909091,0.25,4.083333333333333,13.090909090909092,1.25,0.7444444444444445,3.8,2.3333333333333335,0.5,1.0,2.4166666666666665,1.8333333333333333,2.75,0.0,20.0,400.0,12,0.5714285714285715,medium,low
10,NUEVO MILENIO,49,0.0,1.0,0.0,1.0,0.4,4.9,11.0,1.3,0.55,3.125,2.3,0.8,1.0,3.1,2.3,3.4,0.1,21.5,700.0,10,0.4693877551020407,medium,medium
11,LOS JARDINES,47,0.0,0.5,0.0,1.0,0.25,5.875,18.75,1.5,0.7571428571428572,3.0,3.7142857142857144,0.25,1.0,3.5714285714285716,2.5714285714285716,4.142857142857143,0.14285714285714285,19.5,675.0,8,0.6322188449848024,high,medium
12,MINAS 2000,46,0.375,1.0,0.25,0.625,0.375,5.111111111111111,14.0,1.3333333333333333,1.1875,3.357142857142857,2.0,0.6666666666666666,0.8888888888888888,2.5555555555555554,2.0,1.6666666666666667,0.0,21.0,800.0,9,0.391304347826087,medium,medium
13,CASA HUERTA,44,0.0,0.3333333333333333,0.0,1.0,0.4444444444444444,4.888888888888889,17.25,1.3333333333333333,0.8666666666666666,1.6666666666666667,2.5,0.5555555555555556,1.0,2.5555555555555554,2.0,2.3333333333333335,0.0,20.0,220.0,9,0.5113636363636364,medium,low
14,LAS TERRAZAS,44,0.0,0.0,0.0,1.0,0.5555555555555556,4.888888888888889,13.11111111111111,1.2222222222222223,1.0,3.0,2.2,0.6666666666666666,1.0,3.111111111111111,2.0,2.4444444444444446,0.0,20.0,850.0,9,0.45,medium,high
15,SENOR DE QOYLLOR RITTY,43,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.875,0.8571428571428571,4.777777777777778,13.0,2.6666666666666665,1.5,6.75,2.6666666666666665,0.6666666666666666,1.0,2.6666666666666665,1.8888888888888888,2.3333333333333335,0.0,18.0,680.0,9,0.5581395348837209,medium,medium
16,NUEVA ALBORADA,43,0.7,0.8,0.0,0.6,0.4,4.3,4.6,1.5,1.3888888888888888,2.0,1.5,0.6,0.9,2.3,1.6,1.9,0.0,21.5,950.0,10,0.3488372093023256,low,high
17,NADINE HEREDIA,43,0.0,0.42857142857142855,0.0,1.0,0.5714285714285714,6.142857142857143,5.285714285714286,1.2857142857142858,1.2,2.5,0.42857142857142855,0.14285714285714285,1.0,4.285714285714286,1.7142857142857142,4.428571428571429,0.0,18.0,250.0,7,0.0697674418604651,low,low
